57,-0.167759,0.628486,2.53758,-1.42148,2.70534,-2.04997,3.39429,0.853508,0.739055
765,0.953534,1.53983,-0.24048,-0.0958696,-1.19401,-1.6357,2.02514,0.528718,0.451234
1266,-2.5564,0.780036,1.00422,-0.325485,-2.72257,-1.10552,2.93846,0.992385,1.64009
3344,2.40967,1.45302,-3.07001,-1.89399,0.8035,-3.34702,3.44211,1.16688,1.04382
3682,1.88361,0.679356,-1.26939,-1.54317,3.13019,-2.22253,3.83897,1.0621,0.853521
4399,-0.0280098,0.796926,2.44546,-1.62086,2.47347,-2.41779,3.45887,0.547852,0.808559
5553,-0.188376,1.15592,2.59934,-0.274657,2.78772,-1.43058,3.13336,1.3736,1.13331
6661,-1.52057,0.558396,-1.60318,-0.450026,-0.0826106,-1.00842,1.0118,0.720089,0.602449
6809,1.4373,0.280646,-1.7606,-1.56691,3.08528,-1.84756,3.59617,0.575669,0.920201
7306,0.881454,0.704631,2.97134,-1.49408,2.08989,-2.19871,3.03347,1.35403,1.20078
7365,0.674526,0.625891,0.0459992,-0.19093,-0.628527,-0.816821,1.03065,1.31123,1.11498
8039,-1.11879,0.219599,1.49227,-0.457157,2.61106,-0.676756,2.69734,1.71379,1.46391
8259,-2.16777,0.818099,-1.27076,-1.15313,0.897015,-1.97123,2.16573,0.59684,0.532292
8294,-0.521148,2.04631,-2.65498,-1.92765,-2.13383,-3.97396,4.51061,0.547852,0.441984
9231,2.21636,2.24259,-2.7952,-0.63303,1.27163,-2.87562,3.14424,0.853508,0.78152
9319,-1.06034,0.0271084,1.50974,-0.0991234,2.57008,-0.126232,2.57317,1.41242,1.69473
9502,0.1161,0.765074,-0.368993,-0.618686,-0.485093,-1.38376,1.46632,1.42876,1.22029
10016,-0.542423,0.367293,1.30741,-2.03569,1.84984,-2.40298,3.03253,1.6864,1.96428
10985,-3.12908,1.5322,-2.20939,-0.118524,0.919693,-1.65072,1.88964,1.13302,1.00366
11774,1.88058,1.28343,-2.64769,-1.71131,1.75491,-2.99474,3.47105,0.777161,0.639037
12659,1.60122,1.48856,2.09886,-1.85397,0.497647,-3.34252,3.37937,1.41242,1.96556
14170,2.37634,0.278771,-0.353268,-0.121469,-2.72961,-0.40024,2.75879,0.851187,1.33241
15585,1.47875,0.0971034,-2.05363,-1.27272,2.7508,-1.36982,3.07299,0.659174,1.08164
16515,-2.15225,1.34605,2.65416,-1.92562,-1.47678,-3.27167,3.58953,0.659174,0.576195
16905,-3.05589,2.17974,-0.73802,-0.547816,2.31787,-2.72756,3.57939,0.777161,0.617431
17093,2.99038,0.01625,0.660719,-2.34235,-2.32966,-2.3586,3.31517,1.20314,1.34842
17340,2.4163,1.62046,1.5672,-0.492885,-0.8491,-2.11334,2.27754,1.56256,1.67876
17651,2.20723,0.750235,-0.469213,-2.18149,-2.67644,-2.93172,3.96968,1.12384,0.948557
17910,-0.993184,0.587935,2.32743,-0.768845,-2.96257,-1.35678,3.25848,1.61975,1.62947
18502,0.932353,2.25372,-2.58669,-0.428579,2.76415,-2.68229,3.85165,1.2559,1.34771
18543,1.90078,0.992051,-2.6095,-0.695593,1.77291,-1.68764,2.44773,1.71657,1.8279
19176,-2.30777,0.672325,-0.779565,-0.706315,1.5282,-1.37864,2.05817,1.20314,1.06011
19484,-0.284461,0.329449,1.6582,-0.683606,1.94266,-1.01305,2.19093,1.39828,2.25356
19906,-2.69207,0.978396,1.12288,-0.321278,-2.46823,-1.29967,2.7895,1.06372,0.938652
20230,-2.08466,1.12569,1.83828,-0.0984297,-2.36024,-1.22412,2.6588,0.316118,0.415571
21262,-1.80718,1.32435,0.346204,-1.93802,2.15338,-3.26237,3.90898,0.720089,0.567886
21358,-1.57757,0.447119,3.03581,-2.25631,-1.66981,-2.70342,3.17754,1.20314,1.10941
21629,-2.71471,0.927572,1.14251,-1.77484,-2.42597,-2.70241,3.63158,1.2559,1.01683
22422,-0.639478,1.36088,1.19258,-0.677522,1.83206,-2.0384,2.74071,0.659174,0.568637
22444,0.347136,1.71515,-2.30782,-0.438111,-2.65495,-2.15326,3.41838,0.960575,1.44497
23911,-2.05853,1.9518,0.357751,-0.770986,2.41629,-2.72278,3.64033,0.528718,0.430554
24271,0.260327,0.71701,-1.69697,-1.80361,-1.9573,-2.52062,3.19132,1.16688,0.984389
24518,-2.96356,1.74712,-1.58643,-0.911772,1.37713,-2.65889,2.99436,0.663201,0.657067
25072,-1.30102,1.52012,-0.801669,-0.0678905,0.499356,-1.58801,1.66467,0.960575,0.863076
26680,-0.408495,1.83493,3.07334,-0.678006,-2.80135,-2.51294,3.7633,0.851187,0.912755
26695,-2.78693,1.61184,-0.330962,-1.51055,2.45597,-3.12239,3.97254,1.71379,1.53414
27076,-0.840238,2.02956,1.84383,-2.01022,2.68407,-4.03977,4.85015,0.851187,0.716213
27321,-1.95962,0.218903,-2.03705,-0.70315,-0.077424,-0.922053,0.925298,1.71657,1.52654
28918,1.95491,1.92953,-1.36127,-1.80323,2.967,-3.73275,4.76828,1.61975,1.38074
